system:index,NDVI_max,NDVI_mean,NDVI_median,NDVI_min,NDVI_pixelCount,NDVI_stdDev,date,feature_id,.geo
00000000000000000000_20210723T112121_20210723T112450_T29SNC,0.3872290568248389,0.241665459046714,0.23000462842340497,0.15210688591983557,1194,0.04195229671755524,2021-07-23,,"{""type"":""Polygon"",""coordinates"":[[[-8.260275113221228,37.999736828597236],[-8.260016476637192,37.99842137773497],[-8.259766773810266,37.99835895891955],[-8.256244058740004,37.999081329144566],[-8.2560211658702,37.99916161717505],[-8.252244277662427,37.99998649534219],[-8.252538614885793,38.00135103401573],[-8.256346656470892,38.00053944835966],[-8.260275113221228,37.999736828597236]]]}"
00000000000000000000_20210728T112119_20210728T112520_T29SNC,0.4079707940371159,0.24303668404111559,0.22743473212602447,0.11858974358974357,1194,0.05106549335228654,2021-07-28,,"{""type"":""Polygon"",""coordinates"":[[[-8.260275113221228,37.999736828597236],[-8.260016476637192,37.99842137773497],[-8.259766773810266,37.99835895891955],[-8.256244058740004,37.999081329144566],[-8.2560211658702,37.99916161717505],[-8.252244277662427,37.99998649534219],[-8.252538614885793,38.00135103401573],[-8.256346656470892,38.00053944835966],[-8.260275113221228,37.999736828597236]]]}"
00000000000000000000_20210812T112121_20210812T112449_T29SNC,0.37511635122556625,0.24323911907883305,0.2348824102592822,0.1476655808903366,1194,0.03897727958186201,2021-08-12,,"{""type"":""Polygon"",""coordinates"":[[[-8.260275113221228,37.999736828597236],[-8.260016476637192,37.99842137773497],[-8.259766773810266,37.99835895891955],[-8.256244058740004,37.999081329144566],[-8.2560211658702,37.99916161717505],[-8.252244277662427,37.99998649534219],[-8.252538614885793,38.00135103401573],[-8.256346656470892,38.00053944835966],[-8.260275113221228,37.999736828597236]]]}"
00000000000000000000_20210817T112119_20210817T112113_T29SNC,0.40738586798487936,0.2480404551419135,0.23946700595649864,0.1444082519001086,1194,0.044546068473622885,2021-08-17,,"{""type"":""Polygon"",""coordinates"":[[[-8.260275113221228,37.999736828597236],[-8.260016476637192,37.99842137773497],[-8.259766773810266,37.99835895891955],[-8.256244058740004,37.999081329144566],[-8.2560211658702,37.99916161717505],[-8.252244277662427,37.99998649534219],[-8.252538614885793,38.00135103401573],[-8.256346656470892,38.00053944835966],[-8.260275113221228,37.999736828597236]]]}"
00000000000000000000_20210822T112121_20210822T112449_T29SNC,0.41947336191059403,0.2444858053974214,0.23543957608879085,0.14162627894453422,1194,0.04343283519497456,2021-08-22,,"{""type"":""Polygon"",""coordinates"":[[[-8.260275113221228,37.999736828597236],[-8.260016476637192,37.99842137773497],[-8.259766773810266,37.99835895891955],[-8.256244058740004,37.999081329144566],[-8.2560211658702,37.99916161717505],[-8.252244277662427,37.99998649534219],[-8.252538614885793,38.00135103401573],[-8.256346656470892,38.00053944835966],[-8.260275113221228,37.999736828597236]]]}"
00000000000000000000_20210921T112121_20210921T112452_T29SNC,0.43534303534303537,0.22143042630384033,0.21221477467800526,0.11568488289567071,1194,0.05389998628975931,2021-09-21,,"{""type"":""Polygon"",""coordinates"":[[[-8.260275113221228,37.999736828597236],[-8.260016476637192,37.99842137773497],[-8.259766773810266,37.99835895891955],[-8.256244058740004,37.999081329144566],[-8.2560211658702,37.99916161717505],[-8.252244277662427,37.99998649534219],[-8.252538614885793,38.00135103401573],[-8.256346656470892,38.00053944835966],[-8.260275113221228,37.999736828597236]]]}"
00000000000000000000_20211006T112119_20211006T112114_T29SNC,0.36067101584342964,0.21311243738027774,0.20853545774563503,0.11430734292202874,1194,0.04995516759717508,2021-10-06,,"{""type"":""Polygon"",""coordinates"":[[[-8.260275113221228,37.999736828597236],[-8.260016476637192,37.99842137773497],[-8.259766773810266,37.99835895891955],[-8.256244058740004,37.999081329144566],[-8.2560211658702,37.99916161717505],[-8.252244277662427,37.99998649534219],[-8.252538614885793,38.00135103401573],[-8.256346656470892,38.00053944835966],[-8.260275113221228,37.999736828597236]]]}"
00000000000000000000_20211026T112119_20211026T112238_T29SNC,0.3922967189728959,0.23271960804708622,0.22964689506431749,0.13239436619718306,1194,0.0505139043827312,2021-10-26,,"{""type"":""Polygon"",""coordinates"":[[[-8.260275113221228,37.999736828597236],[-8.260016476637192,37.99842137773497],[-8.259766773810266,37.99835895891955],[-8.256244058740004,37.999081329144566],[-8.2560211658702,37.99916161717505],[-8.252244277662427,37.99998649534219],[-8.252538614885793,38.00135103401573],[-8.256346656470892,38.00053944835966],[-8.260275113221228,37.999736828597236]]]}"
00000000000000000000_20211105T112149_20211105T112401_T29SNC,0.4323070434415858,0.2695171762085463,0.2804403548836882,0.13931297709923665,1194,0.07274183982024306,2021-11-05,,"{""type"":""Polygon"",""coordinates"":[[[-8.260275113221228,37.999736828597236],[-8.260016476637192,37.99842137773497],[-8.259766773810266,37.99835895891955],[-8.256244058740004,37.999081329144566],[-8.2560211658702,37.99916161717505],[-8.252244277662427,37.99998649534219],[-8.252538614885793,38.00135103401573],[-8.256346656470892,38.00053944835966],[-8.260275113221228,37.999736828597236]]]}"
00000000000000000000_20211110T112311_20211110T112451_T29SNC,0.4324853228962818,0.264441650644282,0.27826544573701006,0.11473229132025277,1194,0.07801627613793313,2021-11-10,,"{""type"":""Polygon"",""coordinates"":[[[-8.260275113221228,37.999736828597236],[-8.260016476637192,37.99842137773497],[-8.259766773810266,37.99835895891955],[-8.256244058740004,37.999081329144566],[-8.2560211658702,37.99916161717505],[-8.252244277662427,37.99998649534219],[-8.252538614885793,38.00135103401573],[-8.256346656470892,38.00053944835966],[-8.260275113221228,37.999736828597236]]]}"
00000000000000000000_20211115T112239_20211115T112445_T29SNC,0.44792425345957754,0.28139859680133456,0.295850491528715,0.13167035048942213,1194,0.0805537272889403,2021-11-15,,"{""type"":""Polygon"",""coordinates"":[[[-8.260275113221228,37.999736828597236],[-8.260016476637192,37.99842137773497],[-8.259766773810266,37.99835895891955],[-8.256244058740004,37.999081329144566],[-8.2560211658702,37.99916161717505],[-8.252244277662427,37.99998649534219],[-8.252538614885793,38.00135103401573],[-8.256346656470892,38.00053944835966],[-8.260275113221228,37.999736828597236]]]}"
00000000000000000000_20211215T112359_20211215T112443_T29SNC,0.5537906137184115,0.322147758078965,0.3428918332447904,0.14265783048482736,1194,0.0991263951650119,2021-12-15,,"{""type"":""Polygon"",""coordinates"":[[[-8.260275113221228,37.999736828597236],[-8.260016476637192,37.99842137773497],[-8.259766773810266,37.99835895891955],[-8.256244058740004,37.999081329144566],[-8.2560211658702,37.99916161717505],[-8.252244277662427,37.99998649534219],[-8.252538614885793,38.00135103401573],[-8.256346656470892,38.00053944835966],[-8.260275113221228,37.999736828597236]]]}"
00000000000000000000_20220119T112411_20220119T112449_T29SNC,0.8446788111217642,0.5846705181389213,0.5719376311384601,0.25103448275862067,1194,0.09781671412802392,2022-01-19,,"{""type"":""Polygon"",""coordinates"":[[[-8.260275113221228,37.999736828597236],[-8.260016476637192,37.99842137773497],[-8.259766773810266,37.99835895891955],[-8.256244058740004,37.999081329144566],[-8.2560211658702,37.99916161717505],[-8.252244277662427,37.99998649534219],[-8.252538614885793,38.00135103401573],[-8.256346656470892,38.00053944835966],[-8.260275113221228,37.999736828597236]]]}"
00000000000000000000_20220124T112249_20220124T112248_T29SNC,0.6020278833967047,0.4159363591959858,0.4132787522913751,0.1804733727810651,1194,0.07324848195029768,2022-01-24,,"{""type"":""Polygon"",""coordinates"":[[[-8.260275113221228,37.999736828597236],[-8.260016476637192,37.99842137773497],[-8.259766773810266,37.99835895891955],[-8.256244058740004,37.999081329144566],[-8.2560211658702,37.99916161717505],[-8.252244277662427,37.99998649534219],[-8.252538614885793,38.00135103401573],[-8.256346656470892,38.00053944835966],[-8.260275113221228,37.999736828597236]]]}"
00000000000000000000_20220129T112321_20220129T112901_T29SNC,0.5063738289049301,0.34602953790365204,0.32699008021816994,0.1643048640367675,1194,0.07368780858535043,2022-01-29,,"{""type"":""Polygon"",""coordinates"":[[[-8.260275113221228,37.999736828597236],[-8.260016476637192,37.99842137773497],[-8.259766773810266,37.99835895891955],[-8.256244058740004,37.999081329144566],[-8.2560211658702,37.99916161717505],[-8.252244277662427,37.99998649534219],[-8.252538614885793,38.00135103401573],[-8.256346656470892,38.00053944835966],[-8.260275113221228,37.999736828597236]]]}"
00000000000000000000_20220208T112231_20220208T113014_T29SNC,0.563275434243176,0.35792762815304247,0.34272524035790447,0.1418002466091245,1194,0.07461358434219334,2022-02-08,,"{""type"":""Polygon"",""coordinates"":[[[-8.260275113221228,37.999736828597236],[-8.260016476637192,37.99842137773497],[-8.259766773810266,37.99835895891955],[-8.256244058740004,37.999081329144566],[-8.2560211658702,37.99916161717505],[-8.252244277662427,37.99998649534219],[-8.252538614885793,38.00135103401573],[-8.256346656470892,38.00053944835966],[-8.260275113221228,37.999736828597236]]]}"
00000000000000000000_20220414T112109_20220414T112432_T29SNC,0.6074429771908763,0.39072922342351424,0.3387481167921425,0.17870167760758565,1194,0.10802904777762432,2022-04-14,,"{""type"":""Polygon"",""coordinates"":[[[-8.260275113221228,37.999736828597236],[-8.260016476637192,37.99842137773497],[-8.259766773810266,37.99835895891955],[-8.256244058740004,37.999081329144566],[-8.2560211658702,37.99916161717505],[-8.252244277662427,37.99998649534219],[-8.252538614885793,38.00135103401573],[-8.256346656470892,38.00053944835966],[-8.260275113221228,37.999736828597236]]]}"
